"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"rzbagx","brazil_fr","Leite Derramado","Q6520356","fr","brazil","1","Il faut accepter que les choses évoluent, en bien ou en mal, et ne pas rester amer même jusqu’à la fin de sa vie.","One must accept that things change, for better or worse, and not remain bitter even until the end of one's life."
"apkhnv","brazil_fr","Leite Derramado","Q6520356","fr","brazil","2","Le temps passe et ne revient pas.","Time passes and does not return."
"fdkjeb","brazil_fr","Leite Derramado","Q6520356","fr","brazil","3","Le déni de nos erreurs nous plonge dans une vie solitaire pleine de regrets.","Denying our mistakes plunges us into a solitary life full of regrets."
"zozmpt","brazil_he","Leite Derramado","Q6520356","he","brazil","1","דעות קדומות הן נוראיות ומובילות לאסון.","""Prejudices are terrible and lead to disaster."""
"rfswmu","brazil_he","Leite Derramado","Q6520356","he","brazil","2","לא לקנא ולא לשפוט אחרים.","""Do not envy or judge others."""
"lxgtvd","brazil_he","Leite Derramado","Q6520356","he","brazil","3","גם מה שנראה פשוט על פניו יכול להכיל מבפנים מורכבות בלתי צפויה.","""Even what seems simple on the surface can contain unexpected complexity inside."""
"whdbkp","brazil_hu","Leite Derramado","Q6520356","hu","brazil","1","Nem érdemes figyelni szenilis öregemberekre.","""It's not worth paying attention to senile old men."""
"gkcjxv","brazil_hu","Leite Derramado","Q6520356","hu","brazil","2","Az egészséges önkritika előremutatóbb, mint az utólagos megbánás.","""Healthy self-criticism is more forward-looking than regret after the fact."""
"mubybt","brazil_hu","Leite Derramado","Q6520356","hu","brazil","3","Ahhoz, hogy boldog életet tudjunk élni, meg kell bíznunk azokban, akiket szeretünk.","""To live a happy life, we must trust those we love."""
"uedbcs","brazil_it","Leite Derramado","Q6520356","it","brazil","1","Bisogna accettare quello che accade nella vita.","One must accept what happens in life."
"kosjax","brazil_it","Leite Derramado","Q6520356","it","brazil","2","Ogni scelta che fai, anche la più piccola, ha delle ripercussioni sulla tua vita.","Every choice you make, even the smallest one, has repercussions on your life."
"juiokx","brazil_it","Leite Derramado","Q6520356","it","brazil","3","Chi vive nel passato non vede le gioie del presente.","Those who live in the past do not see the joys of the present."
"lekuid","brazil_jp","Leite Derramado","Q6520356","jp","brazil","1","人生の終わりに達しても、自らの幻想に囚われ、過去の過ちや破壊的な嫉妬を受け入れられないことが不幸を招く。","Reaching the end of life, being trapped in one's own illusions and unable to accept past mistakes or destructive jealousy leads to unhappiness."
"mpsbhl","brazil_jp","Leite Derramado","Q6520356","jp","brazil","2","自分の人生の出来事を理解し受け入れられない人生は悲劇的である。","A life where one cannot understand and accept the events of their own life is tragic."
"wsoilo","brazil_jp","Leite Derramado","Q6520356","jp","brazil","3","自分に起こったことを受け入れずに他人を妬むのは醜い。","It is ugly to envy others without accepting what has happened to oneself."
"mckuhx","brazil_ko","Leite Derramado","Q6520356","ko","brazil","1","질투와 집착은 비극적인 삶을 초래한다.","""Jealousy and obsession lead to a tragic life."""
"vutimd","brazil_ko","Leite Derramado","Q6520356","ko","brazil","2","질투와 고정관념에 기반한 결정은 삶의 불확실성을 초래한다.","Decisions based on jealousy and stereotypes lead to life's uncertainties."
"htlneo","brazil_ko","Leite Derramado","Q6520356","ko","brazil","3","돈과 권력은 영원하지 않지만, 존엄성과 기억은 지속된다.","Money and power are not eternal, but dignity and memory endure."
"nheuhy","brazil_nl","Leite Derramado","Q6520356","nl","brazil","1","Ongeacht of iets pessimistisch is, trekt de wijze van vertellen de aandacht van de luisteraar.","Regardless of whether something is pessimistic, the manner of storytelling captures the listener's attention."
"nrnwri","brazil_nl","Leite Derramado","Q6520356","nl","brazil","2","Laat pessimisme je blik op het leven niet vertroebelen, zodat je de mooie dingen opmerkt en niet aan je voorbij laat gaan.","Do not let pessimism cloud your view of life, so that you notice the beautiful things and do not let them pass you by."
"ecstpx","brazil_nl","Leite Derramado","Q6520356","nl","brazil","3","De werkelijkheid wordt gekleurd door iemands persoonlijke ervaringen.","""Reality is colored by one's personal experiences."""
"jisxev","brazil_pl","Leite Derramado","Q6520356","pl","brazil","1","Ważne jest, aby żyć zgodnie z prawdą, inaczej zaszkodzimy sobie i innym.","It is important to live according to the truth, otherwise we will harm ourselves and others."
"tquuuw","brazil_pl","Leite Derramado","Q6520356","pl","brazil","2","Uprzedzenia skazują całe pokolenia na porażkę.","Prejudices condemn entire generations to failure."
"ybzjrk","brazil_pl","Leite Derramado","Q6520356","pl","brazil","3","Karma wraca – jak traktujesz innych, tak będziesz traktowany.","What goes around comes around – how you treat others is how you will be treated."
"hlzety","brazil_pt","Leite Derramado","Q6520356","pt","brazil","1","A incapacidade de lidar com mudanças e não viver no presente leva à decadência.","The inability to deal with changes and not live in the present leads to decay."
"grtmen","brazil_pt","Leite Derramado","Q6520356","pt","brazil","2","O tempo muda tudo, o bom para o ruim e o melhor para o pior.","Time changes everything, the good to the bad and the best to the worst."
"pzlspt","brazil_pt","Leite Derramado","Q6520356","pt","brazil","3","A decadência social e pessoal, as ilusões sobre si mesmos e os outros e a incapacidade de lidar plenamente com a realidade são temas centrais.","The social and personal decline, the illusions about themselves and others, and the inability to fully deal with reality are central themes."
"ahllfs","brazil_sv","Leite Derramado","Q6520356","sv","brazil","1","En reflektion över de destruktiva effekterna av fördomar, svartsjuka och oförmågan att förändras.","A reflection on the destructive effects of prejudice, jealousy, and the inability to change."
"nbiran","brazil_sv","Leite Derramado","Q6520356","sv","brazil","2","Fokusera inte enbart på det negativa, annars missar du allt det positiva.","Do not focus solely on the negative, or you will miss all the positive."
"fnklug","brazil_sv","Leite Derramado","Q6520356","sv","brazil","3","Kärleken går som en röd tråd igenom livet, ta vara på den innan det är för sent.","Love runs like a red thread through life, cherish it before it's too late."
"dsrmmj","czechrepublic_ar","Konec punku v Helsinkách","Q12030020","ar","czechrepublic","1","ذكريات الإنسان تؤثر عليه مهما ظن أنه قد تجاوزها.","Human memories affect him no matter how much he thinks he has moved past them."
"noerar","czechrepublic_ar","Konec punku v Helsinkách","Q12030020","ar","czechrepublic","2","قد تتعرض للكثير من المشاكل والصدمات في الحياة.","""You may face many problems and shocks in life."""
"rtzeos","czechrepublic_ar","Konec punku v Helsinkách","Q12030020","ar","czechrepublic","3","الحياة ليست سهلة المنال ولا بد من المعاناة.","""Life is not easy to attain, and suffering is inevitable."""
"hlaouq","czechrepublic_cs","Konec punku v Helsinkách","Q12030020","cs","czechrepublic","1","Minulost nás ovlivňuje víc, než jsme schopni tušit.","The past influences us more than we are able to suspect."
"kcovgh","czechrepublic_cs","Konec punku v Helsinkách","Q12030020","cs","czechrepublic","2","Touha po svobodě, pravdě a sebevyjádření může být plná překážek, ale přináší smysl života a naději na lepší budoucnost.","The desire for freedom, truth, and self-expression can be full of obstacles, but it brings meaning to life and hope for a better future."
"aaeccm","czechrepublic_cs","Konec punku v Helsinkách","Q12030020","cs","czechrepublic","3","I zdánlivě banální rozhodnutí může nedozírně změnit život.","Even a seemingly trivial decision can immeasurably change life."
"vwpnbd","czechrepublic_de","Konec punku v Helsinkách","Q12030020","de","czechrepublic","1","Manchmal zahlt es sich aus, rebellisch zu sein und sich gegen das System zu stellen.","Sometimes it pays to be rebellious and stand against the system."
"iuyzni","czechrepublic_de","Konec punku v Helsinkách","Q12030020","de","czechrepublic","2","Widerstand ist besser als Stillstand.","Resistance is better than stagnation."
"dmsqub","czechrepublic_de","Konec punku v Helsinkách","Q12030020","de","czechrepublic","3","Mut ist nicht die Abwesenheit von Angst, sondern Handeln trotz dieser.","Courage is not the absence of fear, but acting in spite of it."
"mlxapa","czechrepublic_en","Konec punku v Helsinkách","Q12030020","en","czechrepublic","1","Resistance comes with a price when it meets reality and leaves participants broken.","Resistance comes with a price when it meets reality and leaves participants broken."
"rkyxlb","czechrepublic_en","Konec punku v Helsinkách","Q12030020","en","czechrepublic","2","It is important to hold value for the ones you love.","It is important to hold value for the ones you love."
"zhauxx","czechrepublic_en","Konec punku v Helsinkách","Q12030020","en","czechrepublic","3","There is always a price to pay for disobedience.","There is always a price to pay for disobedience."
"mwzoie","czechrepublic_fr","Konec punku v Helsinkách","Q12030020","fr","czechrepublic","1","Le bonheur ne sourit pas aux marginaux.","Happiness does not smile upon the marginalized."
"wxrpfq","czechrepublic_fr","Konec punku v Helsinkách","Q12030020","fr","czechrepublic","2","Les belles rencontres sont parfois dues au hasard.","Beautiful encounters are sometimes due to chance."
"ojiugf","czechrepublic_fr","Konec punku v Helsinkách","Q12030020","fr","czechrepublic","3","Il faut parfois laisser les problèmes se régler seuls plutôt que de les anticiper.","Sometimes you have to let problems resolve themselves rather than anticipating them."
"quxklr","czechrepublic_he","Konec punku v Helsinkách","Q12030020","he","czechrepublic","1","החיים נעים במעגלים והכל חוזר על עצמו.","""Life moves in circles and everything repeats itself."""
"uprfda","czechrepublic_he","Konec punku v Helsinkách","Q12030020","he","czechrepublic","2","חירות אישית ואומנות כרוכות במחיר, אך הן הכוח שמניע שינוי אמיתי.","""Personal freedom and art come at a price, but they are the force that drives true change."""
"pyrgfk","czechrepublic_he","Konec punku v Helsinkách","Q12030020","he","czechrepublic","3","זיכרונות גורמים לרצון לחזור לעבר.","""Memories create a desire to return to the past."""
"tccqsf","czechrepublic_hu","Konec punku v Helsinkách","Q12030020","hu","czechrepublic","1","A céltalan élet sok probléma forrása lehet.","""A life without purpose can be the source of many problems."""
"wpfhwm","czechrepublic_hu","Konec punku v Helsinkách","Q12030020","hu","czechrepublic","2","A lázadó, punk élet kapcsolati és társadalmi áldozatokkal, veszteségekkel járhat, amelyek később kísértenek.","The rebellious, punk life can involve relational and social sacrifices, losses that may haunt later."
"evgvdv","czechrepublic_hu","Konec punku v Helsinkách","Q12030020","hu","czechrepublic","3","A szülők múltbeli tapasztalásai hatással lehetnek gyermekeik életére is.","""Parents' past experiences can also affect their children's lives."""
"wwxibc","czechrepublic_it","Konec punku v Helsinkách","Q12030020","it","czechrepublic","1","Il passato può riemergere inaspettatamente.","The past can resurface unexpectedly."
"pxcnux","czechrepublic_it","Konec punku v Helsinkách","Q12030020","it","czechrepublic","2","Bisogna credere in ciò che si vuole ottenere dalla vita: impegnarsi, affrontare sfide, accettare sconfitte, ma rimettersi sempre in gioco per raggiungere gli obiettivi prefissati.","One must believe in what they want to achieve in life: commit, face challenges, accept defeats, but always get back in the game to reach the set goals."
"kyupwr","czechrepublic_it","Konec punku v Helsinkách","Q12030020","it","czechrepublic","3","La vita è dura per chi non è allineato.","Life is hard for those who are not aligned."
"xpttsx","czechrepublic_jp","Konec punku v Helsinkách","Q12030020","jp","czechrepublic","1","出会いは必然である。","""Encounters are inevitable."""
"zjfxyl","czechrepublic_jp","Konec punku v Helsinkách","Q12030020","jp","czechrepublic","2","一つの罪の始まりは多数の悲しみへ連鎖していき、人生を壊してしまう。","The beginning of one sin leads to a chain of many sorrows and can destroy a life."
"dixaod","czechrepublic_jp","Konec punku v Helsinkách","Q12030020","jp","czechrepublic","3","",""
"pgbcrz","czechrepublic_ko","Konec punku v Helsinkách","Q12030020","ko","czechrepublic","1","천천히 살아야 삶을 더 잘 즐길 수 있다.","""Living slowly allows you to enjoy life more."""
"tawgyj","czechrepublic_ko","Konec punku v Helsinkách","Q12030020","ko","czechrepublic","2","전쟁의 잔혹함은 세상을 멍들게 한다.","""The cruelty of war bruises the world."""
"nxsrmq","czechrepublic_ko","Konec punku v Helsinkách","Q12030020","ko","czechrepublic","3","삶은 예측할 수 없다.","Life is unpredictable."
"neigtx","czechrepublic_nl","Konec punku v Helsinkách","Q12030020","nl","czechrepublic","1","Historische gebeurtenissen laten enorm zware verwoesting achter.","""Historical events leave enormous devastation behind."""
"fyanlo","czechrepublic_nl","Konec punku v Helsinkách","Q12030020","nl","czechrepublic","2","Je kunt altijd proberen van je verleden te vluchten, maar het zal je altijd achterna komen.","You can always try to run from your past, but it will always catch up with you."
"bbzovg","czechrepublic_nl","Konec punku v Helsinkách","Q12030020","nl","czechrepublic","3","De geschiedenis herhaalt zich in zekere mate.","History repeats itself to some extent."
"iqcuzn","czechrepublic_pl","Konec punku v Helsinkách","Q12030020","pl","czechrepublic","1","Traumatyczne wydarzenia nie przejmują się tym, ile ktoś już przeszedł w życiu.","Traumatic events do not care how much someone has already been through in life."
"wmxjdo","czechrepublic_pl","Konec punku v Helsinkách","Q12030020","pl","czechrepublic","2","Czasami w życiu nie dostajesz tego, czego chcesz.","Sometimes in life you don't get what you want."
"tffykp","czechrepublic_pl","Konec punku v Helsinkách","Q12030020","pl","czechrepublic","3","Nawet jeśli próbujesz uciec od swoich przeszłych działań, one cię dogonią.","Even if you try to escape from your past actions, they will catch up with you."
"wdfdyg","czechrepublic_pt","Konec punku v Helsinkách","Q12030020","pt","czechrepublic","1","A manifestação é uma forma de defesa para os marginalizados.","The protest is a form of defense for the marginalized."
"oxbweu","czechrepublic_pt","Konec punku v Helsinkách","Q12030020","pt","czechrepublic","2","Esteja sempre preparado para as voltas que o mundo dá.","Always be prepared for the turns the world takes."
"frljdp","czechrepublic_pt","Konec punku v Helsinkách","Q12030020","pt","czechrepublic","3","Todas as atitudes erradas têm uma consequência catastrófica.","All wrong actions have a catastrophic consequence."
"iibrxu","czechrepublic_sv","Konec punku v Helsinkách","Q12030020","sv","czechrepublic","1","De människor vi möter och de handlingar vi gör är alla sammanflätade.","The people we meet and the actions we take are all intertwined."
"ebjbdi","czechrepublic_sv","Konec punku v Helsinkách","Q12030020","sv","czechrepublic","2","Små val kan få stora konsekvenser.","""Small choices can have big consequences."""
"gijbum","czechrepublic_sv","Konec punku v Helsinkách","Q12030020","sv","czechrepublic","3","Du kan inte fly från det förflutna; det kommer alltid tillbaka till dig i någon form.","You cannot escape from the past; it always comes back to you in some form."
"zhtudb","egypt_ar","عزازيل (رواية)
","Q8134681","ar","egypt","1","إن قلة الإيمان تجعل الإنسان عرضة للتلاعب من الآخرين ومن عقله الداخلي.","""Lack of faith makes a person susceptible to manipulation by others and by their own inner mind."""
"hkkath","egypt_ar","عزازيل (رواية)
","Q8134681","ar","egypt","2","الإيمان ينقص ويزيد.","""Faith decreases and increases."""
"kaotln","egypt_ar","عزازيل (رواية)
","Q8134681","ar","egypt","3","كلما عظم الهدف زادت التحديات.","""The greater the goal, the greater the challenges."""
"iysvgc","egypt_cs","عزازيل (رواية)
","Q8134681","cs","egypt","1","Víra v boha nikoho neochrání.","Belief in God protects no one."
"zjjdhf","egypt_cs","عزازيل (رواية)
","Q8134681","cs","egypt","2","Vymanění se z přehnané víry a nebezpečné formy náboženství může vést k reálnému a šťastnému životu.","Breaking free from excessive faith and dangerous forms of religion can lead to a real and happy life."
"jqlmer","egypt_cs","عزازيل (رواية)
","Q8134681","cs","egypt","3","Jsi-li na pochybách, dělej to, co uznáš za vhodné.","When in doubt, do what you think is right."
"foafas","egypt_de","عزازيل (رواية)
","Q8134681","de","egypt","1","Um sich psychisch von seinen Ängsten zu befreien, ist es wichtig, zu tun, was auch immer getan werden muss.","To free oneself mentally from one's fears, it is important to do whatever needs to be done."
"tbpghx","egypt_de","عزازيل (رواية)
","Q8134681","de","egypt","2","Lasse Dir nicht durch Religion ein Leben vorschreiben, das dich nicht erfüllt.","""Don't let religion dictate a life that doesn't fulfill you."""
"zumcyc","egypt_de","عزازيل (رواية)
","Q8134681","de","egypt","3","Es ist notwendig, Risiken einzugehen, um die Chance auf Besserung zu erhalten.","It is necessary to take risks in order to have the chance for improvement."
"duazfd","egypt_en","عزازيل (رواية)
","Q8134681","en","egypt","1","Certain circumstances change people.","Certain circumstances change people."
"xkwmpo","egypt_en","عزازيل (رواية)
","Q8134681","en","egypt","2","The answers we seek require us to walk on a journey of fearlessness and self-discovery.","The answers we seek require us to walk on a journey of fearlessness and self-discovery."
"cxmlfz","egypt_en","عزازيل (رواية)
","Q8134681","en","egypt","3","Leaps of faith pay off in the end.","Leaps of faith pay off in the end."
"iwrddm","egypt_fr","عزازيل (رواية)
","Q8134681","fr","egypt","1","Une croyance absolue met des œillères à celui qui la pratique.","An absolute belief puts blinders on the one who practices it."
"tfffts","egypt_fr","عزازيل (رواية)
","Q8134681","fr","egypt","2","Il ne faut pas hésiter à remettre en cause ce à quoi on croit.","""Do not hesitate to question what you believe in."""
"qkpqxq","egypt_fr","عزازيل (رواية)
","Q8134681","fr","egypt","3","Les religions font plus de mal que de bien et il est bon de les questionner.","Religions do more harm than good and it is good to question them."
"rwdzxk","egypt_he","عزازيل (رواية)
","Q8134681","he","egypt","1","אמונה בעצמנו ותמיכה מהסביבה יכולות לעזור לנו להתגבר על כל מכשול ולהגיע להצלחה.","Belief in ourselves and support from our surroundings can help us overcome any obstacle and achieve success."
"uybyvr","egypt_he","عزازيل (رواية)
","Q8134681","he","egypt","2","אהבה יכולה לערער את יסודות האמונה.","""Love can undermine the foundations of faith."""
"oxhkwo","egypt_he","عزازيل (رواية)
","Q8134681","he","egypt","3","חשוב ללמוד ולהתפתח ולקחת אחריות על חייו.","""It is important to learn and develop and take responsibility for one's life."""
"mkugio","egypt_hu","عزازيل (رواية)
","Q8134681","hu","egypt","1","Az emberek képesek a nehézségeket leküzdeni.","People are capable of overcoming difficulties."
"uojqge","egypt_hu","عزازيل (رواية)
","Q8134681","hu","egypt","2","Fontos követni az álmainkat, és nem szabad félelemben és külső nyomásoktól rettegve élni.","It is important to follow our dreams and not live in fear and dread of external pressures."
"hbwpru","egypt_hu","عزازيل (رواية)
","Q8134681","hu","egypt","3","A hit és az erkölcs útjáról való letérés viharos, rendezetlen élethez vezet, ami nélkülözi a nyugalmat és a stabilitást.","Departing from the path of faith and morality leads to a turbulent, disordered life that lacks peace and stability."
"tznifr","egypt_it","عزازيل (رواية)
","Q8134681","it","egypt","1","Seguire le proprie passioni e domandarsi che cosa si vuole veramente è il significato della vita.","Following one's passions and asking oneself what one truly wants is the meaning of life."
"noqohi","egypt_it","عزازيل (رواية)
","Q8134681","it","egypt","2","La ricerca della verità.","The pursuit of truth."
"rfzlzk","egypt_it","عزازيل (رواية)
","Q8134681","it","egypt","3","Ciò che prima sembrava una certezza può essere messo in discussione e completamente sovvertito dalle vicende della vita.","What once seemed a certainty can be questioned and completely overturned by the events of life."
"ivfndk","egypt_jp","عزازيل (رواية)
","Q8134681","jp","egypt","1","恋は信仰を超越しうる。","""Love can transcend faith."""
"epmhbz","egypt_jp","عزازيل (رواية)
","Q8134681","jp","egypt","2","信仰が人生を左右する。","Faith influences life."
"djurae","egypt_jp","عزازيل (رواية)
","Q8134681","jp","egypt","3","信仰心は時に分断を生み争いのもとになる。","Faith can sometimes create division and become a source of conflict."
"ryhulb","egypt_ko","عزازيل (رواية)
","Q8134681","ko","egypt","1","자아를 찾는 여정은 힘들지만 가치가 있다.","""The journey to find oneself is difficult but worthwhile."""
"yvpdan","egypt_ko","عزازيل (رواية)
","Q8134681","ko","egypt","2","어려움이 있어도 마음의 깊은 소리에 집중하면 극복할 수 있다.","Even if there are difficulties, you can overcome them by focusing on the deep voice of your heart."
"qtxdee","egypt_ko","عزازيل (رواية)
","Q8134681","ko","egypt","3","기독교적으로 원하는 방향이 아니더라도 삶의 기록은 역사적으로 의미가 있을 수 있다.","""Even if it is not in the desired direction from a Christian perspective, the record of life can have historical significance."""
"mqmuxt","egypt_nl","عزازيل (رواية)
","Q8134681","nl","egypt","1","Echte liefde overwint verschillende levensopvattingen.","True love overcomes different views on life."
"typknn","egypt_nl","عزازيل (رواية)
","Q8134681","nl","egypt","2","De zoektocht naar de zin van het leven zal niet in een rechte lijn gaan, maar vereist levensveranderende gebeurtenissen.","The search for the meaning of life will not proceed in a straight line, but requires life-changing events."
"ycckof","egypt_nl","عزازيل (رواية)
","Q8134681","nl","egypt","3","Je geloofsovertuiging kan veranderen door de levenslessen die je krijgt.","Your beliefs can change due to the life lessons you receive."
"mxhhns","egypt_pl","عزازيل (رواية)
","Q8134681","pl","egypt","1","Szukając głębszych, prawdziwych źródeł mądrości i religii, czasami można odkryć brzydką prawdę o ludziach.","In seeking deeper, true sources of wisdom and religion, one can sometimes discover an ugly truth about people."
"dsoeos","egypt_pl","عزازيل (رواية)
","Q8134681","pl","egypt","2","Konflikty religijne są częścią historii ludzkości.","Religious conflicts are part of human history."
"qjmxkf","egypt_pl","عزازيل (رواية)
","Q8134681","pl","egypt","3","Szczęście można osiągnąć tylko w otoczeniu właściwych ludzi.","""Happiness can only be achieved in the company of the right people."""
"vhbole","egypt_pt","عزازيل (رواية)
","Q8134681","pt","egypt","1","O romance verdadeiro deve ser vivido e sentido, não reprimido.","True romance should be lived and felt, not repressed."
"wgrpdt","egypt_pt","عزازيل (رواية)
","Q8134681","pt","egypt","2","Quando você consegue realmente se concentrar no amor, não há necessidade de buscar a Deus.","When you can truly focus on love, there is no need to seek God."
"ocvmqt","egypt_pt","عزازيل (رواية)
","Q8134681","pt","egypt","3","A verdadeira liberdade encontra-se na conciliação da divindade com a humanidade em sua alma.","True freedom lies in the reconciliation of divinity with humanity in one's soul."
"iphxyd","egypt_sv","عزازيل (رواية)
","Q8134681","sv","egypt","1","Religion har många sidor och tolkningar.","Religion has many sides and interpretations."
"nmdoep","egypt_sv","عزازيل (رواية)
","Q8134681","sv","egypt","2","Det är inte genom god lära som man utmärker sig, det är genom sina goda handlingar.","It is not through good doctrine that one distinguishes oneself, it is through one's good deeds."
"llrecb","egypt_sv","عزازيل (رواية)
","Q8134681","sv","egypt","3","Att låta doktriner styra ditt liv leder bara till lidande.","""Letting doctrines govern your life only leads to suffering."""
"mysyny","france_ar","Les Petits Enfants du siècle","Q1741761","ar","france","1","العائلة هي الحضن الدافئ الذي يمنحنا القوة والأمان.","The family is the warm embrace that gives us strength and security."
"isdnih","france_ar","Les Petits Enfants du siècle","Q1741761","ar","france","2","الإنجاب بكثرة يؤدي إلى مشاكل كثيرة.","""Having many children leads to many problems."""
"jfxqzo","france_ar","Les Petits Enfants du siècle","Q1741761","ar","france","3","الأقدار تأتي أحيانًا مفاجأة وليس كما نخطط لها.","""Fates sometimes come as a surprise and not as we plan for them."""
"nuuhph","france_cs","Les Petits Enfants du siècle","Q1741761","cs","france","1","Při hledání lásky není třeba být zoufalý, protože ji často potkáme náhle a tam, kde bychom ji nečekali.","When searching for love, there is no need to be desperate, because we often encounter it suddenly and where we would not expect it."
"gtgyli","france_cs","Les Petits Enfants du siècle","Q1741761","cs","france","2","Výsměch se k tobě vrátí.","""Mockery will return to you."""
"jeajys","france_cs","Les Petits Enfants du siècle","Q1741761","cs","france","3","Štěstí přichází naproti těm, kteří jej nehledají.","Happiness comes to those who do not seek it."
"ojswjj","france_de","Les Petits Enfants du siècle","Q1741761","de","france","1","Am Ende wird man selber zu der Person, auf die man sein ganzes Leben herabgeschaut hat.","In the end, you become the person you have looked down on your whole life."
"tqlsef","france_de","Les Petits Enfants du siècle","Q1741761","de","france","2","Das Leben ist nicht planbar.","Life is not predictable."
"cdijcj","france_de","Les Petits Enfants du siècle","Q1741761","de","france","3","Trauere Vergangenem nicht hinterher, damit du in der Zukunft Glück finden kannst.","""Do not mourn the past so that you can find happiness in the future."""
"oblsft","france_en","Les Petits Enfants du siècle","Q1741761","en","france","1","Life is often a series of misadventures before you ultimately find your place in the grand scheme of things.","Life is often a series of misadventures before you ultimately find your place in the grand scheme of things."
"qlomto","france_en","Les Petits Enfants du siècle","Q1741761","en","france","2","As long as one is alive, there is hope.","As long as one is alive, there is hope."
"rdzwew","france_en","Les Petits Enfants du siècle","Q1741761","en","france","3","There is always light at the end of every tunnel.","There is always light at the end of every tunnel."
"mdzqlu","france_fr","Les Petits Enfants du siècle","Q1741761","fr","france","1","Même dans les situations les plus difficiles, la vie réserve parfois des surprises et des occasions de renouveler l'espoir et de tracer de nouveaux chemins à travers les épreuves et les tribulations.","Even in the most difficult situations, life sometimes holds surprises and opportunities to renew hope and chart new paths through trials and tribulations."
"sabjjz","france_fr","Les Petits Enfants du siècle","Q1741761","fr","france","2","La persévérance paye.","Perseverance pays off."
"chvvrm","france_fr","Les Petits Enfants du siècle","Q1741761","fr","france","3","Même avec un passé difficile, on peut toujours rebondir.","Even with a difficult past, one can always bounce back."
"wtwvvs","france_he","Les Petits Enfants du siècle","Q1741761","he","france","1","התמדה בדרך שלך, גם אם מנוגדת לנורמות חברתיות, משתלמת בסופו של דבר.","""Perseverance in your path, even if it goes against social norms, ultimately pays off."""
"sfnbev","france_he","Les Petits Enfants du siècle","Q1741761","he","france","2","לפעמים מה שאנחנו רודפים אחריו הוא לא בהכרח מה שמתאים לנו.","""Sometimes what we chase after is not necessarily what suits us."""
"mvcjvv","france_he","Les Petits Enfants du siècle","Q1741761","he","france","3","החיים הם דבר מאוד מסובך, אפשר לעשות טעויות, אבל אף פעם לא מאוחר מדי לתקן אותן.","""Life is a very complicated thing, mistakes can be made, but it's never too late to fix them."""
"hionrm","france_hu","Les Petits Enfants du siècle","Q1741761","hu","france","1","Bármennyi szenvedést élsz át, bármennyit hibázol, a boldogság akkor is megtalálhat.","No matter how much suffering you go through, no matter how many mistakes you make, happiness can still find you."
"chrdtl","france_hu","Les Petits Enfants du siècle","Q1741761","hu","france","2","A képmutatás boldogtalan élethez vezet.","""Hypocrisy leads to an unhappy life."""
"ontnzl","france_hu","Les Petits Enfants du siècle","Q1741761","hu","france","3","Sosem tudni, hogy az ember hova lyukad ki.","""You never know where you'll end up."""
